variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3
past_gov_note,1961-2010,Past governor notes,Note about past_gov.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
gov_midyear_change_c,1961-2010,Gubernatorial change before budget passed,"1 = governor changes mid-year, from the perspective of the budget. If the new governor comes in before the budget is passed, then this gets a '1,' '0' if after the budget is passed. If the governor comes in very early in the year, before the session starts, or if only a few days were held, this gets a score of '0.' 0 = else. 2 = missing data. Note: this variable is identical to gov_midyear_change_b, but altered from 1 to 0 when appropriate because of when the budget passes.
Explanations for these changes can be found in the variable gov_midyear_change_c_note.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
gov_midyear_change_c_note,1961-2010,Gubernatorial change before budget passed notes,Note about gov_midyear_change_c,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
new_gov_c,1961-2010,New governor before budget passed dummy,"Note: this variable is identical to new_gov_b, but altered from 1 to 0 when appropriate because of mid-year changes in the governor in light of when the budget passes. If a budget didn’t pass in the first year that a governor came in, the case in the next year is coded '1' instead. 2 = missing data","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
new_gov_d,1961-2010,New governor (non-incumbent) before budget dummy (modified for past serving governors),"Dummy: 1 = new governor this year. Cases where an incoming governor served in the past aren’t included in scores of '1.' 0 = else. Note: this variable is identical to new_gov_c, but altered from 1 to 0 when appropriate because the new governor has served in the past. 2 = missing data","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
fracleg_old_variable,Various,Fraction of days legislature met,Fraction of days when the legislature was in session that the governor serving in the earlier part of the year was in office. Incomplete variable,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
fracleg_old_variable_note,Various,Note for fraction of days legislature met,Note about why fracleg got the value that it did. Incomplete variable,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
years_served,1959-2010,Number of years served by governor,"Number of years that the governor has served. The variable indicates their experience at the beginning of the year. If a governor came back to office, their counter began where it left off before. If someone came in mid-year (not in Jan or Dec) the governor that was in office when the budget passed was used for the figure. If someone came in at some fraction of the year (i.e., July 1st) they were given the credit of a fraction of their experience (i.e., .5) in the next year they served.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
budgets_overseen,1959-2010,Number of budgets overseen by governor,"Number of budgets that the governor has overseen. If a governor leaves and comes back, the budgets they oversaw in the past are also counted. In the first year they oversee a budget, they get a code of '0.'","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
years_served_budgets_overseen_note,1959-2010,Notes about number of budgets overseen by governor,Notes about the number of years served and budgets_overseen.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
term_length,1956-2004,Term length,"Number of years in governor’s term (means that in that year the governor is having that type of term, in length).","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
years_left_in_term,1956-2004,Years left in governor’s term,Number of years left in the governor’s term.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
limit_exists,1960-2009,Dummy for gubernatorial term limit,"A gubernatorial term limit exists by law at this time, no matter how many terms the present governor has served. 1 = yes, 0 = no","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
limit_type,1959-2009,Type of term limit,Type of term limit. 0 = there is no term limit. 1 = there is a one-term limit. 2 = there is a two-term limit. 3 = there is a three-term limit. This is from the data file 'GovTermLimits.',"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1
Sources for 1997 to 2002; Book of the States, used further research (noted in source file file) in the case of ID and MA because they had changes to their laws.",government,NA,NA,NA,NA,NA,NA
term_limit_length_uncertainty,1959-2009,Term limit uncertainty dummy,"0 = term limit is known because it was looked up from documents, etc. 1 = assumption was made that term limit in an earlier year was the same as the earliest year term limit law was known. Note: I did check to see if there were inconsistencies between the coding of 'term_length' and which governors were in office (for example, if there was a two-term governor in a state I coded as having a one-term term limit).","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
years_left_before_limit,1960 -2010,Years left before governor’s term limit,"Number of years left before the governor’s term limit. This takes into account how states individually deal with partial terms, governors that come back after taking time off, and transition rules. The numerous sources for this information are in the codebook 'GovTermLimits-Notes' under variable trli0005.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1
Note: Could not always find out if a state had transition rules that applied to the sitting governor. In these cases, author merely assumed that a governor who was sitting in a state with a one term term limit when a constitutional amendment passed creating a two term term limit would be eligible for a second term. If a governor was sitting in a state with no term limits, when a constitutional amendment passed that created a two term term limit author assumed that the counter would start when the constitutional amendment passed. Some of the state specific notes for this variable may not appear below, but in the document 'GovTermLimits-PrimaryDocuments.' If the term limit in NC in 1997 was an absolute limit, then James B. Hunt could have never served a second time. Therefore, the limit is on consecutive terms, and his clock starts from the beginning.",government,NA,NA,NA,NA,NA,NA
years_left_before_limit_note,1960-2010,Years left before governor’s term limit notes,Notes about term limits. Grandfather clauses and other information.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
years_left_before_limit_uncertain,1960 -2010,Uncertainty around years left before governor’s term limit,1 = some uncertainty about the number of years left before a term limit because I’m unsure of how partial terms count toward the limit.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
lame_duck_last_term,1960-2010,Last term for governor,"Governor is in the last term before his term limit, i.e., he or she is a lame duck. 1 = governor is a lame duck. 0 = governor is not a lame duck.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
lame_duck_last_year,1960-2010,Last year of term for governor,Dummy: 1 = governor is in their last year before a term limit. 0 = else.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
lame_duck_last_2nd_to_last_year,1960-2010,Second to last year of term for governor,Dummy: 1 = governor is in their second to last year before a term limit. 0 = else.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
lame_duck_notes,1960-2010,Notes about lame duck,Notes about why the lame_duck variables were coded the way they were.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
femgov,1956-2006,Female governor,"Dummy: 1 = female, 0 = male. This was coded based on the first name of the governor. If there was doubt, an internet search was done to ascertain their gender. One source: http://www.guide2womenleaders.com/ Governors1920.htm","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
femgov_notes,1968-2007,Notes about coding of female governor,Note about the coding of 'femgov.',"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
stateleg,1971-2006,Governor served in legislature dummy,"Dummy: Member served in the state legislature. 1 = yes, 0 = no. A search was done through supplement #1 to the Book of States 12 years before their arrival to the governor’s office. They may have been in the state legislature before that time, but they would receive a score of '0' if so. For consistency, when governors were found in state legislatures before the twelve-year cutoff, and not after, they did not receive a code of '1.'","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
stateleg_source,1971-2006,Source of legislative info about governor,Source for stateleg,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
congmem,1971-2006,Governor served in U.S. House or Senate,"Dummy: Members served in the U.S. House of Representatives or the U.S. Senate. 1 = yes, 0 = no. No time cutoff for this variable.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1
Source was often http://bioguide.congress.gov/biosearch/biosearch.asp.",government,NA,NA,NA,NA,NA,NA
congmem_sour,1971-2006,Source of congressional info about governor,Source for 'congmem.',"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
stateleg_congmem_notes,1971-2006,Notes about legislative or congressional info on governor,Notes about stateleg or congmem,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
legexper,1971-2006,"Governor served in state legislature or
U.S. Congress","Dummy: 1 = members served in either the state legislature or U.S. Congress. 0
= else. Computed from stateleg and congmem. Gives fractions sometimes when there was a mid-year switch in governor.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
party_midyear_change,1961-2010,State year with governors from different parties,"Year had governors of two different parties in it. A year doesn’t include normal transitions (that obviously are rarely on January 1st), or abnormal transition that occur early in the year. If it happened late enough in the year (after a November election would have been), that’s not considered a mid-year change. Dummy variable: 1 = yes, blank = no. This variable appears to be incomplete.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
party_midyear_change_direction,1961-2010,Direction of governor party change,-1 = change was from Democrat to Republican. 1 = change was from Republican to Democrat. Blank = no change.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
govparty_a,1937-2011,Party of governor,"Party of the governor; 0 = Republican, 1 = Democrat, .5 = non-major party governor. When the party of the governor changes mid-year (eight cases), the fraction of the year with a Democratic governor is put in as a value.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1
Notes: This is govparty from StateElections_PartisanBalance1937to2011_2011_03_22.xls. However, years are put in 'government style.' For example, if a Democrat replaces a Republican in the 1988 election, 'R' goes into 1988, and 'D' goes into 1989.
Source 1937 to 1958; Congressional Quarterly. 1998. Gubernatorial Elections, 1787-1997. Washington, DC: Congressional Quarterly, Inc. Source 1959 to 2009: Klarner, state partisan balance, for_use file. Source 2010: Directory I, 2009. Source 2011: http://www.ballotpedia.org/wiki/index.php/2010_gubernatorial_electoral_res ults",government,NA,NA,NA,NA,NA,NA
party_midbiennium_change,1925-2011,Biennium with two different parties dummy,"Biennium had governors of two different parties in it. Dummy variable: 1 = yes, blank = no.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
party_midbiennium_change_direction,1925-2011,Direction of change of party in biennium,-1 = change was from Democrat to Republican. 1 = change was from Republican to Democrat. Blank = no change. This is put into the year of the biennium that saw the change if this is a mid-year change also. This is put into both years of the biennium if the change took place from the first year of the biennium to the second.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
govparty_b,1937-2011,Party of governor for governor if mid- year switch,"This is the same as govparty_a, except that when there is a mid-year switch in the party of the governor, the party of the governor during the November election is used.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
govparty_b_2,1937-2011,Party of governor for governor if mid- year switch recoded,"Same as govparty_b, except recoded. Democrat = 1, Republican = -1, non- major party governor = 0.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
state_midterm_penalty,1937-2011,Midterm penalty,"0 = gubernatorial election in that year, or no gubernatorial election, and a non-major party governor in office during the election. 1 = no gubernatorial election, and a Democratic governor in office. -1 = no gubernatorial election, and a Republican governor in office. Same as govparty_b_2, except recoded '0' when gub_election=1.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
govparty_c,1937-2011,Party of governor when budget passed,"Party of the governor; 0 = Republican, 1 = Democrat, .5 = non-major party governor. When the party of the governor changes mid-year, the party of the governor when the budget passed was used. When there was no budget passed, the party of the governor
during the November election (or when the election would have been held) was used.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
gov_non_maj_pty,1937-2011,Governor isn’t from major party,1 = governor isn’t a Democrat or a Republican. 0 = governor is a Democrat or is a Republican.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
gub_party_change,1937-2011,Party change of governor,Dummy: 1 = party of the governor has changed since the beginning of last year. 0 = hasn’t.,"Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
gov_pty_change_since_last_budget,1937-2011,Party change of governor since budget passed,"1 = governor changed from R to D since last time a budget was passed. -1
= governor changed from D to R since last time a budget was passed. 0 = no change. -.5 and .5 = some change to or from a non-major party governor.
Blank = no budget was passed in that year. Computed by: sorted by Budget_Pass2011_04_13, then stateno, then year. Then differenced gov_party_c.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
years_since_other_party,1937-2010,Years since other party in governorship,"Years since other party variable. A count variable saying 1) how many years the Democrats have been in power (expressed by a positive number) or 2) how many years the Republicans have been in power (multiplied by -1). For years between 1936 and the first time after that year there was a switch in the party of the governor, the count is from the year 1936. When there has been an independent, zeros are entered. Based off of gov_party_c","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
open_bcs_term_limit,1937-2010,Open seat due to term limit,"Dummy: 1 = seat is open because of a term limit, and a Democrat was in office immediately beforehand. -1 = seat is open because of a term limit, and a Republican was in office immediately beforehand. 0 = else.","Klarner, Carl, 2013, 'Governors Dataset', https://doi.org/10.7910/DVN/PQ0Y1N, Harvard Dataverse, V1",government,"Klarner, Carl. ""Governors dataset."" Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408 (2013).","@article{klarner2013governors,
  title={Governors dataset},
  author={Klarner, Carl},
  journal={Harvard Dataverse. URL: http://hdl. handle. net/1902.1/20408},
  year={2013}
}",NA,NA,NA,NA
gov_motive_achievement,1993,Governor achievement motive score,"Frequency of motive imagery relating to achievement ('the desire for excellence') used in inaugural address, expressed in terms of frequency per 1000 words.","Ferguson, Margaret R., and Jay Barth. 'Governors in the Legislative Arena: The Importance of Personality in Shaping Success.' Political Psychology 23.4 (2002): 787–808.",government,NA,NA,NA,NA,NA,NA
gov_motive_power,1993,Governor power motive score,"Frequency of motive imagery relating to power ('desire for prestige and influence on others') used in inaugural address, expressed in terms of frequency per 1000 words.","Ferguson, Margaret R., and Jay Barth. 'Governors in the Legislative Arena: The Importance of Personality in Shaping Success.' Political Psychology 23.4 (2002): 787–808.",government,NA,NA,NA,NA,NA,NA
